indicator,year,n,mean_wt_resid,se_wt_resid
BSAI LL Fishery: Large females >= 75 cm,1999,125,-0.050494455479590535,0.018653568362428857
BSAI LL Fishery: Large females >= 75 cm,2000,143,-6.133862543785029e-4,0.012729943284295398
BSAI LL Fishery: Large females >= 75 cm,2001,90,-0.020000605407090543,0.013175004351063266
BSAI LL Fishery: Large females >= 75 cm,2002,151,-0.029027269583510283,0.017214833299145308
BSAI LL Fishery: Large females >= 75 cm,2003,172,0.002241296377832806,0.009353132705437051
BSAI LL Fishery: Large females >= 75 cm,2004,142,0.01488088794837588,0.010435281645439647
BSAI LL Fishery: Large females >= 75 cm,2005,62,0.0011338934810345316,0.02067865875895577
BSAI LL Fishery: Large females >= 75 cm,2006,64,-0.08313538198397567,0.027679552495101862
BSAI LL Fishery: Large females >= 75 cm,2007,94,-0.037981824053923564,0.016017791444921943
BSAI LL Fishery: Large females >= 75 cm,2008,137,-0.030512641286515155,0.010735616137655593
BSAI LL Fishery: Large females >= 75 cm,2009,335,-0.03182729493108899,0.006679862434766481
BSAI LL Fishery: Large females >= 75 cm,2010,225,-0.012250214361127498,0.009192759323490115
BSAI LL Fishery: Large females >= 75 cm,2011,152,0.009634999634826839,0.010894695174602705
BSAI LL Fishery: Large females >= 75 cm,2012,240,0.024885272032306095,0.00865689626583667
BSAI LL Fishery: Large females >= 75 cm,2013,459,0.021318677919393025,0.006094312857852339
BSAI LL Fishery: Large females >= 75 cm,2014,125,-0.03164522277049158,0.011683982059309218
BSAI LL Fishery: Large females >= 75 cm,2015,221,-0.03968774118961149,0.010956372250698428
BSAI LL Fishery: Large females >= 75 cm,2016,55,-0.01037217189098934,0.014571697888062042
BSAI LL Fishery: Large females >= 75 cm,2017,1,NA,NA
BSAI LL Fishery: Large females >= 75 cm,2018,3,NA,NA
BSAI LL Fishery: Large females >= 75 cm,2019,1,NA,NA
GOA LL Fishery: Large females >= 75 cm,1999,317,0.014327631017311927,0.008075779455042249
GOA LL Fishery: Large females >= 75 cm,2000,473,0.04090213274352189,0.006243379201783364
GOA LL Fishery: Large females >= 75 cm,2001,416,-0.002348293146401859,0.008736770557171984
GOA LL Fishery: Large females >= 75 cm,2002,342,0.030097786746802246,0.007366827926081833
GOA LL Fishery: Large females >= 75 cm,2003,334,-0.0016273747641403081,0.007935237099030065
GOA LL Fishery: Large females >= 75 cm,2004,267,-0.01853718869430854,0.010102018321066622
GOA LL Fishery: Large females >= 75 cm,2005,316,-0.006182056294771853,0.009020712639118222
GOA LL Fishery: Large females >= 75 cm,2006,380,-0.030057146780592594,0.0069238375518810786
GOA LL Fishery: Large females >= 75 cm,2007,349,-0.02745806833867149,0.006970239841024473
GOA LL Fishery: Large females >= 75 cm,2008,373,-0.011193859164245671,0.007959462170962462
GOA LL Fishery: Large females >= 75 cm,2009,302,-0.01925803468575481,0.007776119183962205
GOA LL Fishery: Large females >= 75 cm,2010,304,-0.025557938961217108,0.007904001272300364
GOA LL Fishery: Large females >= 75 cm,2011,237,-0.007473417123061104,0.008747652110220005
GOA LL Fishery: Large females >= 75 cm,2012,341,-0.03826232045523269,0.00647091738912002
