indicator,year,n,mean_wt_resid,se_wt_resid
BSAI Fishery: Large females >= 75 cm,1999,125,-0.047363517574185415,0.018684074439069713
BSAI Fishery: Large females >= 75 cm,2000,143,0.002524463060784112,0.012693153518346687
BSAI Fishery: Large females >= 75 cm,2001,90,-0.01687967031403404,0.013154817650927141
BSAI Fishery: Large females >= 75 cm,2002,151,-0.02655427607009585,0.017209637463415237
BSAI Fishery: Large females >= 75 cm,2003,172,0.004727404310477169,0.009375277616896951
BSAI Fishery: Large females >= 75 cm,2004,142,0.017944051105501506,0.010467652545921384
BSAI Fishery: Large females >= 75 cm,2005,62,0.004637970447052709,0.020674996171936254
BSAI Fishery: Large females >= 75 cm,2006,64,-0.07949256293903993,0.027679225524732072
BSAI Fishery: Large females >= 75 cm,2007,94,-0.03450589513272144,0.016047256754048448
BSAI Fishery: Large females >= 75 cm,2008,137,-0.02689750812670717,0.010747271812164599
BSAI Fishery: Large females >= 75 cm,2009,335,-0.028493311658241108,0.006675685400729073
BSAI Fishery: Large females >= 75 cm,2010,225,-0.009138548570848438,0.009195767163339212
BSAI Fishery: Large females >= 75 cm,2011,152,0.012209994143169362,0.010891053766332918
BSAI Fishery: Large females >= 75 cm,2012,240,0.026579321634740534,0.008655240158717579
BSAI Fishery: Large females >= 75 cm,2013,459,0.022273909759317503,0.006104570059327917
BSAI Fishery: Large females >= 75 cm,2014,125,-0.030124219825375744,0.011696853732404078
BSAI Fishery: Large females >= 75 cm,2015,221,-0.03816241436426894,0.010978166936563706
BSAI Fishery: Large females >= 75 cm,2016,55,-0.009575482766099196,0.014630622132171343
BSAI Fishery: Large females >= 75 cm,2017,1,NA,NA
BSAI Fishery: Large females >= 75 cm,2018,3,NA,NA
BSAI Fishery: Large females >= 75 cm,2019,1,NA,NA
BSAI Fishery: Large females >= 75 cm,2021,1,NA,NA
BSAI Fishery: Large females >= 75 cm,2022,23,-0.4228154944517988,0.03504099229195389
BSAI Fishery: Large females >= 75 cm,2023,3,NA,NA
GOA Fishery: Large females >= 75 cm,1999,317,0.014638454681009279,0.008075812137130526
GOA Fishery: Large females >= 75 cm,2000,473,0.04117549443522702,0.006244599956468467
GOA Fishery: Large females >= 75 cm,2001,416,-0.0020947399529895818,0.008737804060722795
GOA Fishery: Large females >= 75 cm,2002,342,0.030335771771621865,0.007364034375055398
GOA Fishery: Large females >= 75 cm,2003,334,-0.0014089205073534864,0.007935441336798429
GOA Fishery: Large females >= 75 cm,2004,267,-0.018359092617386857,0.010102749397803966
GOA Fishery: Large females >= 75 cm,2005,316,-0.005858335647113931,0.009022962201073056
GOA Fishery: Large females >= 75 cm,2006,380,-0.02977080853184169,0.006921441679875846
GOA Fishery: Large females >= 75 cm,2007,349,-0.02719594993466284,0.006971642910053187
GOA Fishery: Large females >= 75 cm,2008,373,-0.010975948220408151,0.007963038207441027
GOA Fishery: Large females >= 75 cm,2009,302,-0.018853722232270144,0.007773099251504905
GOA Fishery: Large females >= 75 cm,2010,304,-0.025320901519409158,0.007906331230631978
GOA Fishery: Large females >= 75 cm,2011,237,-0.007115925877704538,0.008745049833492027
GOA Fishery: Large females >= 75 cm,2012,341,-0.03795787942125216,0.0064651247697466805
GOA Fishery: Large females >= 75 cm,2013,341,-0.047751647038502334,0.009306034193220543
GOA Fishery: Large females >= 75 cm,2014,385,-0.02320363435758874,0.0076837936685910865
GOA Fishery: Large females >= 75 cm,2015,409,-0.03651214122016778,0.007362962676950352
GOA Fishery: Large females >= 75 cm,2016,379,6.809640013920956e-4,0.008314054129635996
GOA Fishery: Large females >= 75 cm,2017,277,-0.014712774294153649,0.007724808982230494
GOA Fishery: Large females >= 75 cm,2018,261,-0.012021397214528004,0.009371190015188876
GOA Fishery: Large females >= 75 cm,2019,190,-0.010574766914263843,0.011222203077274406
GOA Fishery: Large females >= 75 cm,2020,67,0.01668029036866265,0.017722009030245917
