YEAR,INDICATOR_NAME,DATA_VALUE
1996,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.013108606587391013
1997,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,1.6477825109982626e-4
1998,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,0.016939729743989943
1999,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,0.015027622476696928
2000,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,0.015076733610274885
2001,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,0.007270912746070055
2002,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,0.009240583633999233
2003,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.009686647445509068
2004,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,0.013005501071767468
2005,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.016519948756381297
2006,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.014047812145371255
2007,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.022880784302680483
2008,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.005610157710110416
2009,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.012896844042636198
2010,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.003002142292681063
2011,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.010611481726421774
2012,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.003627316154256107
2013,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.03005464775977028
2014,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.00508493700691668
2015,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.03628818797343481
2016,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.01794047806349963
2017,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.025918820925101112
2018,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,0.007294379651663439
2019,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.009873319359746965
2020,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.00627687437263277
2021,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.015444003556773339
2022,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,-0.02320233504260868
